Time [s];	Voltage [V];	Current [A]
+4.0000000000000001E-02;	-4.0616537469571933E-05;	-3.1085967456119225E-04
+8.0000000000000002E-02;	-4.1807889821668972E-05;	-3.1088960968722639E-04
+1.2000000000000000E-01;	-4.0616537469571933E-05;	-3.1088960968722639E-04
+1.6000000000000000E-01;	-4.1807889821668972E-05;	-3.1082973943515811E-04
+2.0000000000000001E-01;	-3.8233832765377962E-05;	-3.1082973943515811E-04
+2.3999999999999999E-01;	-3.1085718652796158E-05;	-3.1085967456119225E-04
+2.8000000000000003E-01;	-3.2277071004893089E-05;	-3.1082973943515811E-04
+3.2000000000000001E-01;	-3.7042480413281031E-05;	-3.1088960968722639E-04
+3.5999999999999999E-01;	-4.1807889821668972E-05;	-3.1091954481326047E-04
+4.0000000000000002E-01;	-3.7042480413281031E-05;	-3.1094947993929461E-04
+4.4000000000000000E-01;	-3.7042480413281031E-05;	-3.1106922044343111E-04
+4.7999999999999998E-01;	-4.0616537469571933E-05;	-3.1103928531739698E-04
+5.2000000000000002E-01;	-3.5851128061183991E-05;	-3.1109915556946525E-04
+5.6000000000000005E-01;	-3.2277071004893089E-05;	-3.1115902582153348E-04
+5.9999999999999998E-01;	-4.0616537469571933E-05;	-3.1118896094756762E-04
+6.4000000000000001E-01;	-3.5851128061183991E-05;	-3.1118896094756762E-04
+6.8000000000000005E-01;	-4.2999242173765904E-05;	-3.1127876632566998E-04
+7.1999999999999997E-01;	-4.4190594525862943E-05;	-3.1118896094756762E-04
+7.6000000000000001E-01;	-3.9425185117475002E-05;	-3.1121889607360170E-04
+8.0000000000000004E-01;	-3.8233832765377962E-05;	-3.1124883119963584E-04
+8.3999999999999997E-01;	-3.9425185117475002E-05;	-3.1139850682980648E-04
+8.8000000000000000E-01;	-3.8233832765377962E-05;	-3.1136857170377234E-04
+9.2000000000000004E-01;	-4.2999242173765904E-05;	-3.1136857170377234E-04
+9.5999999999999996E-01;	-4.1807889821668972E-05;	-3.1136857170377234E-04
+1.0000000000000000E+00;	-3.4659775709087060E-05;	-3.1133863657773820E-04
+1.0400000000000000E+00;	-3.4659775709087060E-05;	-3.1130870145170412E-04
+1.0800000000000001E+00;	-3.9425185117475002E-05;	-3.1130870145170412E-04
+1.1200000000000001E+00;	-3.3468423356990021E-05;	-3.1136857170377234E-04
+1.1599999999999999E+00;	-3.5851128061183991E-05;	-3.1133863657773820E-04
+1.2000000000000000E+00;	-3.2277071004893089E-05;	-3.1133863657773820E-04
+1.2400000000000000E+00;	-3.7042480413281031E-05;	-3.1130870145170412E-04
+1.2800000000000000E+00;	-4.0616537469571933E-05;	-3.1139850682980648E-04
+1.3200000000000001E+00;	-4.1807889821668972E-05;	-3.1130870145170412E-04
+1.3600000000000001E+00;	-3.4659775709087060E-05;	-3.1136857170377234E-04
+1.4000000000000001E+00;	-4.4190594525862943E-05;	-3.1139850682980648E-04
+1.4399999999999999E+00;	-3.5851128061183991E-05;	-3.1136857170377234E-04
+1.4800000000000000E+00;	-4.1807889821668972E-05;	-3.1145837708187470E-04
+1.5200000000000000E+00;	-3.5851128061183991E-05;	-3.1151824733394298E-04
+1.5600000000000001E+00;	-3.9425185117475002E-05;	-3.1154818245997707E-04
+1.6000000000000001E+00;	-3.8233832765377962E-05;	-3.1154818245997707E-04
+1.6400000000000001E+00;	-3.4659775709087060E-05;	-3.1160805271204534E-04
+1.6799999999999999E+00;	-3.8233832765377962E-05;	-3.1151824733394298E-04
+1.7200000000000000E+00;	-3.9425185117475002E-05;	-3.1157811758601120E-04
+1.7600000000000000E+00;	-4.0616537469571933E-05;	-3.1157811758601120E-04
+1.8000000000000000E+00;	-3.8233832765377962E-05;	-3.1148831220790884E-04
+1.8400000000000001E+00;	-3.9425185117475002E-05;	-3.1151824733394298E-04
+1.8800000000000001E+00;	-4.0616537469571933E-05;	-3.1151824733394298E-04
+1.9199999999999999E+00;	-3.2277071004893089E-05;	-3.1154818245997707E-04
+1.9600000000000000E+00;	-4.1807889821668972E-05;	-3.1142844195584056E-04
+2.0000000000000000E+00;	-3.9425185117475002E-05;	-3.1154818245997707E-04
+2.0400000000000000E+00;	-3.7042480413281031E-05;	-3.1160805271204534E-04
+2.0800000000000001E+00;	-3.9425185117475002E-05;	-3.1163798783807943E-04
+2.1200000000000001E+00;	-3.7042480413281031E-05;	-3.1163798783807943E-04
+2.1600000000000001E+00;	-3.9425185117475002E-05;	-3.1163798783807943E-04
+2.2000000000000002E+00;	-4.0616537469571933E-05;	-3.1166792296411357E-04
+2.2400000000000002E+00;	-3.8233832765377962E-05;	-3.1166792296411357E-04
+2.2800000000000002E+00;	-3.7042480413281031E-05;	-3.1160805271204534E-04
+2.3199999999999998E+00;	-2.9894366300699119E-05;	-3.1154818245997707E-04
+2.3599999999999999E+00;	-4.2999242173765904E-05;	-3.1169785809014771E-04
+2.3999999999999999E+00;	-3.4659775709087060E-05;	-3.1157811758601120E-04
+2.4399999999999999E+00;	-3.7042480413281031E-05;	-3.1166792296411357E-04
+2.4800000000000000E+00;	-3.5851128061183991E-05;	-3.1169785809014771E-04
+2.5200000000000000E+00;	-3.7042480413281031E-05;	-3.1175772834221593E-04
+2.5600000000000001E+00;	-3.8233832765377962E-05;	-3.1178766346825007E-04
+2.6000000000000001E+00;	-3.8233832765377962E-05;	-3.1178766346825007E-04
+2.6400000000000001E+00;	-3.4659775709087060E-05;	-3.1172779321618184E-04
+2.6800000000000002E+00;	-4.0616537469571933E-05;	-3.1172779321618184E-04
+2.7200000000000002E+00;	-4.1807889821668972E-05;	-3.1184753372031829E-04
+2.7600000000000002E+00;	-3.9425185117475002E-05;	-3.1178766346825007E-04
+2.8000000000000003E+00;	-4.4190594525862943E-05;	-3.1169785809014771E-04
