Time [s];	Voltage [V];	Current [A]
+2.0000000000000001E-01;	+3.9785170250262545E+00;	+0.0000000000000000E+00
+4.0000000000000002E-01;	+3.9785495886572111E+00;	+0.0000000000000000E+00
+6.0000000000000009E-01;	+3.9785664661488660E+00;	+0.0000000000000000E+00
+8.0000000000000004E-01;	+3.9785831450817946E+00;	+0.0000000000000000E+00
+1.0000000000000000E+00;	+3.9785805638183653E+00;	+0.0000000000000000E+00
+1.2000000000000002E+00;	+3.9785861234626752E+00;	+0.0000000000000000E+00
+1.3999999999999999E+00;	+3.9785924773418864E+00;	+0.0000000000000000E+00
+1.6000000000000001E+00;	+3.9785962499576684E+00;	+0.0000000000000000E+00
+1.7999999999999998E+00;	+3.9785932715767878E+00;	+0.0000000000000000E+00
+2.0000000000000000E+00;	+3.9785982355449216E+00;	+0.0000000000000000E+00
+2.1999999999999997E+00;	+3.9785990297798235E+00;	+0.0000000000000000E+00
+2.4000000000000004E+00;	+3.9786061778939357E+00;	+0.0000000000000000E+00
+2.6000000000000001E+00;	+3.9786067735701116E+00;	+0.0000000000000000E+00
+2.7999999999999998E+00;	+3.9786129288905978E+00;	+0.0000000000000000E+00
+3.0000000000000000E+00;	+3.9786085605986394E+00;	+0.0000000000000000E+00
+3.2000000000000002E+00;	+3.9786071706875621E+00;	+0.0000000000000000E+00
+3.3999999999999999E+00;	+3.9786079649224635E+00;	+0.0000000000000000E+00
+3.5999999999999996E+00;	+3.9786079649224644E+00;	+0.0000000000000000E+00
+3.7999999999999998E+00;	+3.9786139216842247E+00;	+0.0000000000000000E+00
+4.0000000000000000E+00;	+3.9786113404207946E+00;	+0.0000000000000000E+00
+4.1999999999999993E+00;	+3.9786174957412808E+00;	+0.0000000000000000E+00
+4.3999999999999995E+00;	+3.9786119360969709E+00;	+0.0000000000000000E+00
+4.5999999999999996E+00;	+3.9786113404207946E+00;	+0.0000000000000000E+00
+4.8000000000000007E+00;	+3.9786091562748158E+00;	+0.0000000000000000E+00
+5.0000000000000000E+00;	+3.9786137231254983E+00;	+0.0000000000000000E+00
+5.2000000000000002E+00;	+3.9786129288905969E+00;	+0.0000000000000000E+00
+5.4000000000000004E+00;	+3.9786119360969714E+00;	+0.0000000000000000E+00
+5.5999999999999996E+00;	+3.9786113404207950E+00;	+0.0000000000000000E+00
+5.7999999999999998E+00;	+3.9786059793352102E+00;	+0.0000000000000000E+00
+6.0000000000000000E+00;	+3.9786006182496254E+00;	+0.0000000000000000E+00
+6.1999999999999993E+00;	+3.9786002211321754E+00;	+0.0000000000000000E+00
+6.4000000000000004E+00;	+3.9786016110432527E+00;	+0.0000000000000000E+00
+6.6000000000000005E+00;	+3.9785952571640411E+00;	+0.0000000000000000E+00
+6.7999999999999998E+00;	+3.9786043908654078E+00;	+0.0000000000000000E+00
+7.0000000000000000E+00;	+3.9785952571640415E+00;	+0.0000000000000000E+00
+7.1999999999999993E+00;	+3.9785930730180628E+00;	+0.0000000000000000E+00
