Time [s];	Voltage [V];	Current [A]
+2.0000000000000001E-01;	+3.9764334971724336E+00;	+0.0000000000000000E+00
+4.0000000000000002E-01;	+3.9764561328671237E+00;	+0.0000000000000000E+00
+6.0000000000000009E-01;	+3.9764660608033915E+00;	+0.0000000000000000E+00
+8.0000000000000004E-01;	+3.9764728118000527E+00;	+0.0000000000000000E+00
+1.0000000000000000E+00;	+3.9764845267648483E+00;	+0.0000000000000000E+00
+1.2000000000000002E+00;	+3.9764849238822992E+00;	+0.0000000000000000E+00
+1.3999999999999999E+00;	+3.9764956460534688E+00;	+0.0000000000000000E+00
+1.6000000000000001E+00;	+3.9764954474947429E+00;	+0.0000000000000000E+00
+1.7999999999999998E+00;	+3.9764918734376864E+00;	+0.0000000000000000E+00
+2.0000000000000000E+00;	+3.9764976316407221E+00;	+0.0000000000000000E+00
+2.1999999999999997E+00;	+3.9764968374058207E+00;	+0.0000000000000000E+00
+2.4000000000000004E+00;	+3.9764930647900392E+00;	+0.0000000000000000E+00
+2.6000000000000001E+00;	+3.9764898878504336E+00;	+0.0000000000000000E+00
+2.7999999999999998E+00;	+3.9764904835266091E+00;	+0.0000000000000000E+00
+3.0000000000000000E+00;	+3.9764950503772920E+00;	+0.0000000000000000E+00
+3.2000000000000002E+00;	+3.9764940575836651E+00;	+0.0000000000000000E+00
+3.3999999999999999E+00;	+3.9764894907329826E+00;	+0.0000000000000000E+00
+3.5999999999999996E+00;	+3.9764908806440595E+00;	+0.0000000000000000E+00
+3.7999999999999998E+00;	+3.9764956460534684E+00;	+0.0000000000000000E+00
+4.0000000000000000E+00;	+3.9764886964980817E+00;	+0.0000000000000000E+00
+4.1999999999999993E+00;	+3.9764875051457289E+00;	+0.0000000000000000E+00
+4.3999999999999995E+00;	+3.9764906820853345E+00;	+0.0000000000000000E+00
+4.5999999999999996E+00;	+3.9764869094695534E+00;	+0.0000000000000000E+00
+4.8000000000000007E+00;	+3.9764863137933766E+00;	+0.0000000000000000E+00
+5.0000000000000000E+00;	+3.9764892921742572E+00;	+0.0000000000000000E+00
+5.2000000000000002E+00;	+3.9764920719964123E+00;	+0.0000000000000000E+00
+5.4000000000000004E+00;	+3.9764922705551378E+00;	+0.0000000000000000E+00
+5.5999999999999996E+00;	+3.9764894907329826E+00;	+0.0000000000000000E+00
+5.7999999999999998E+00;	+3.9764928662313133E+00;	+0.0000000000000000E+00
+6.0000000000000000E+00;	+3.9764912777615105E+00;	+0.0000000000000000E+00
+6.1999999999999993E+00;	+3.9764966388470953E+00;	+0.0000000000000000E+00
+6.4000000000000004E+00;	+3.9764950503772929E+00;	+0.0000000000000000E+00
+6.6000000000000005E+00;	+3.9764998157867004E+00;	+0.0000000000000000E+00
+6.7999999999999998E+00;	+3.9764990215517995E+00;	+0.0000000000000000E+00
+7.0000000000000000E+00;	+3.9764986244343485E+00;	+0.0000000000000000E+00
+7.1999999999999993E+00;	+3.9764968374058207E+00;	+0.0000000000000000E+00
+7.4000000000000004E+00;	+3.9765041840786579E+00;	+0.0000000000000000E+00
